object;object_type; planned_expense ;planned_revenue
СКВ.1496Л-56 Поточное [дог.17С1490] [ЗБП];Забой; 10 000 000,00 ₽ ;13 000 000,00
СКВ.1891Л-299 Тевлинско-Русскинское [дог.17С1490] [ЗБО];Забой; 1 900 000,00 ₽ ;2 470 000,00
СКВ.2057Н-44Б Повховское [дог.17С1490] [ЗБП];Забой; 3 300 000,00 ₽ ;4 290 000,00
СКВ.227-23 Повховское [дог.17С1490] [ЗБП];Забой; 4 000 000,00 ₽ ;5 200 000,00
СКВ.10442Р Шушминское [дог.19С1114] [ББ];Бурение боковое; 23 000 000,00 ₽ ;29 900 000,00
СКВ.12301Г-123 им. А.Усольцева (бывш Имилорское) [дог.19С1114] [ББ];Бурение боковое; 35 000 000,00 ₽ ;45 500 000,00
СКВ.12304Г-123 им. А.Усольцева (бывш Имилорское) [дог.19С1114] [ББ];Бурение боковое; 27 000 000,00 ₽ ;35 100 000,00
СКВ.12305Г-123 им. А.Усольцева (бывш Имилорское) [дог.19С1114] [ББ];Бурение боковое; 65 000 000,00 ₽ ;84 500 000,00
СКВ.1702Г-4 Мишаевское [дог.19С1115] [ББ];Бурение боковое; 80 000 000,00 ₽ ;104 000 000,00
СКВ.2020Г-7 Малоключевое [дог.19С1115] [ББ];Бурение боковое; 50 000 000,00 ₽ ;65 000 000,00
СКВ.31В-795 Нивагальское [дог.19С1115] [ББ];Бурение боковое; 27 000 000,00 ₽ ;35 100 000,00
СКВ.4401Г-440 Покачевское [дог.19С1115] [ББ];Бурение боковое; 5 900 000,00 ₽ ;7 670 000,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
